geoid,var,value
01069,be30_grd_clean,71.45720672607422
01023,be30_grd_clean,66.55744934082031
01113,be30_grd_clean,110.51133728027344
10005,be30_grd_clean,12.062450408935547
01071,be30_grd_clean,317.614990234375
01089,be30_grd_clean,238.75978088378906
04015,be30_grd_clean,1125.75390625
05017,be30_grd_clean,38.117576599121094
05121,be30_grd_clean,123.51346588134766
05073,be30_grd_clean,82.923065185546875
05057,be30_grd_clean,110.25794219970703
06079,be30_grd_clean,462.5221252441406
06081,be30_grd_clean,151.78707885742188
06091,be30_grd_clean,1724.1217041015625
08067,be30_grd_clean,2428.19677734375
12007,be30_grd_clean,43.61310958862305
10003,be30_grd_clean,29.722911834716797
09190,be30_grd_clean,128.85897827148438
12009,be30_grd_clean,6.655640602111816
12131,be30_grd_clean,42.6154899597168
12053,be30_grd_clean,31.848411560058594
12047,be30_grd_clean,38.844459533691406
12065,be30_grd_clean,39.551143646240234
12031,be30_grd_clean,14.032835960388184
13105,be30_grd_clean,170.9102020263672
13213,be30_grd_clean,335.6752014160156
16073,be30_grd_clean,1448.8055419921875
16049,be30_grd_clean,1533.1290283203125
17105,be30_grd_clean,208.5211639404297
17161,be30_grd_clean,201.9119873046875
27087,be30_grd_clean,409.0546569824219
18089,be30_grd_clean,203.71583557128906
04013,be30_grd_clean,495.9449157714844
06067,be30_grd_clean,29.23009490966797
19159,be30_grd_clean,351.6877746582031
06107,be30_grd_clean,1290.3460693359375
06069,be30_grd_clean,578.62835693359375
19163,be30_grd_clean,215.50357055664062
27053,be30_grd_clean,278.72637939453125
17125,be30_grd_clean,154.2581787109375
36005,be30_grd_clean,13.19083023071289
20099,be30_grd_clean,267.78533935546875
36119,be30_grd_clean,101.38612365722656
36053,be30_grd_clean,372.1819763183594
21235,be30_grd_clean,375.3885498046875
44007,be30_grd_clean,109.65772247314453
36029,be30_grd_clean,282.5325927734375
48287,be30_grd_clean,129.37799072265625
36091,be30_grd_clean,222.07212829589844
01121,be30_grd_clean,190.56292724609375
21133,be30_grd_clean,546.2803955078125
38017,be30_grd_clean,304.63720703125
39035,be30_grd_clean,263.1198425292969
39061,be30_grd_clean,216.7124786376953
22075,be30_grd_clean,0.8680077791213989
22031,be30_grd_clean,82.00483703613281
22111,be30_grd_clean,51.5506477355957
22115,be30_grd_clean,83.40148162841797
01087,be30_grd_clean,109.72113800048828
01041,be30_grd_clean,121.09391784667969
24005,be30_grd_clean,123.35405731201172
24019,be30_grd_clean,4.789828777313232
24017,be30_grd_clean,34.55925750732422
24015,be30_grd_clean,49.48728561401367
25001,be30_grd_clean,16.04645347595215
25017,be30_grd_clean,73.49476623535156
26103,be30_grd_clean,378.05145263671875
26053,be30_grd_clean,451.9085693359375
26115,be30_grd_clean,193.42373657226562
26141,be30_grd_clean,225.90867614746094
27075,be30_grd_clean,475.92315673828125
27163,be30_grd_clean,277.7525634765625
28001,be30_grd_clean,61.32244110107422
28087,be30_grd_clean,71.11100769042969
28143,be30_grd_clean,57.086517333984375
28139,be30_grd_clean,158.63938903808594
29099,be30_grd_clean,197.65521240234375
30001,be30_grd_clean,2143.3291015625
30105,be30_grd_clean,779.90142822265625
30005,be30_grd_clean,929.89324951171875
30029,be30_grd_clean,1497.95751953125
33017,be30_grd_clean,131.66006469726562
34001,be30_grd_clean,15.564647674560547
34009,be30_grd_clean,6.123134613037109
34041,be30_grd_clean,187.06475830078125
34019,be30_grd_clean,123.89453887939453
34025,be30_grd_clean,33.5976448059082
34023,be30_grd_clean,27.501829147338867
35045,be30_grd_clean,1842.6009521484375
36031,be30_grd_clean,474.1911926269531
37047,be30_grd_clean,21.048913955688477
37039,be30_grd_clean,654.72222900390625
37149,be30_grd_clean,374.5142517089844
37009,be30_grd_clean,968.439208984375
37055,be30_grd_clean,5.1591925621032715
37091,be30_grd_clean,20.113719940185547
38097,be30_grd_clean,286.5840148925781
38053,be30_grd_clean,678.54248046875
39167,be30_grd_clean,254.1393585205078
40095,be30_grd_clean,225.2586212158203
02020,be30_grd_clean,768.77386474609375
02180,be30_grd_clean,172.34609985351562
02070,be30_grd_clean,216.90716552734375
41015,be30_grd_clean,459.5643310546875
41007,be30_grd_clean,238.43238830566406
41035,be30_grd_clean,1509.3839111328125
41033,be30_grd_clean,735.4603271484375
02066,be30_grd_clean,1294.4151611328125
41065,be30_grd_clean,747.966552734375
48037,be30_grd_clean,102.84526062011719
42071,be30_grd_clean,139.4591827392578
42095,be30_grd_clean,171.00486755371094
44009,be30_grd_clean,47.6838264465332
45013,be30_grd_clean,5.580854415893555
45051,be30_grd_clean,13.121305465698242
45091,be30_grd_clean,192.65127563476562
46023,be30_grd_clean,469.99615478515625
04007,be30_grd_clean,1390.6351318359375
47157,be30_grd_clean,90.62449645996094
47165,be30_grd_clean,211.50625610351562
47019,be30_grd_clean,813.7786865234375
47123,be30_grd_clean,444.4924621582031
47013,be30_grd_clean,481.01763916015625
48273,be30_grd_clean,16.439437866210938
48229,be30_grd_clean,1349.0406494140625
48419,be30_grd_clean,99.35810852050781
48301,be30_grd_clean,898.01239013671875
49037,be30_grd_clean,1726.265625
49019,be30_grd_clean,1747.9017333984375
49049,be30_grd_clean,1899.8134765625
49023,be30_grd_clean,1678.10595703125
51133,be30_grd_clean,15.37901782989502
51193,be30_grd_clean,22.635839462280273
51073,be30_grd_clean,16.689226150512695
51107,be30_grd_clean,141.22567749023438
51143,be30_grd_clean,215.08770751953125
51083,be30_grd_clean,142.0599365234375
53053,be30_grd_clean,655.5758056640625
53067,be30_grd_clean,139.5369415283203
53005,be30_grd_clean,286.98016357421875
54047,be30_grd_clean,561.4735107421875
54099,be30_grd_clean,279.09771728515625
54037,be30_grd_clean,158.3387908935547
54003,be30_grd_clean,201.25082397460938
55003,be30_grd_clean,373.5082702636719
55051,be30_grd_clean,465.1105651855469
56039,be30_grd_clean,2453.78369140625
05045,be30_grd_clean,129.21250915527344
05011,be30_grd_clean,58.027767181396484
05085,be30_grd_clean,74.66948699951172
05099,be30_grd_clean,96.0516357421875
05037,be30_grd_clean,72.69007873535156
06007,be30_grd_clean,454.9817199707031
06047,be30_grd_clean,119.64558410644531
08059,be30_grd_clean,2172.448974609375
08065,be30_grd_clean,3312.9951171875
08055,be30_grd_clean,2267.974853515625
12117,be30_grd_clean,16.80457878112793
12041,be30_grd_clean,19.658878326416016
12013,be30_grd_clean,35.934295654296875
13229,be30_grd_clean,39.28725814819336
13261,be30_grd_clean,120.37358856201172
13021,be30_grd_clean,122.47321319580078
13151,be30_grd_clean,240.0218048095703
13195,be30_grd_clean,217.09747314453125
13265,be30_grd_clean,168.78329467773438
13267,be30_grd_clean,51.26312255859375
13237,be30_grd_clean,155.05258178710938
13219,be30_grd_clean,215.48477172851562
13205,be30_grd_clean,74.97828674316406
13201,be30_grd_clean,57.17677688598633
16085,be30_grd_clean,1961.285888671875
16005,be30_grd_clean,1699.445068359375
16039,be30_grd_clean,1435.147216796875
17047,be30_grd_clean,134.71978759765625
17027,be30_grd_clean,139.04222106933594
18041,be30_grd_clean,293.01025390625
18069,be30_grd_clean,248.8494110107422
19175,be30_grd_clean,367.8804016113281
20059,be30_grd_clean,303.6302490234375
20171,be30_grd_clean,914.18865966796875
21123,be30_grd_clean,237.84002685546875
21115,be30_grd_clean,289.4842529296875
21109,be30_grd_clean,370.4314270019531
21175,be30_grd_clean,310.22332763671875
21011,be30_grd_clean,262.26910400390625
21231,be30_grd_clean,322.8942565917969
21061,be30_grd_clean,191.8181915283203
21165,be30_grd_clean,332.0699157714844
22001,be30_grd_clean,11.740348815917969
22071,be30_grd_clean,2.5515575408935547
22103,be30_grd_clean,17.51690673828125
22067,be30_grd_clean,34.05289077758789
22081,be30_grd_clean,55.714599609375
22039,be30_grd_clean,28.56678581237793
22043,be30_grd_clean,50.234283447265625
22083,be30_grd_clean,26.172576904296875
26135,be30_grd_clean,345.42596435546875
27015,be30_grd_clean,307.337158203125
28163,be30_grd_clean,63.46248245239258
28089,be30_grd_clean,91.120819091796875
28101,be30_grd_clean,137.1226043701172
29033,be30_grd_clean,227.8566131591797
29039,be30_grd_clean,280.1859130859375
29197,be30_grd_clean,268.8899230957031
30063,be30_grd_clean,1502.04345703125
30097,be30_grd_clean,1708.9088134765625
30047,be30_grd_clean,1209.9395751953125
30069,be30_grd_clean,896.8013916015625
