geoid,var,value
02198,koppen_16,0.03762371854310346
02198,koppen_26,0.25162750420296703
02198,koppen_27,0.22855673652627953
02198,koppen_29,0.008897650741454188
02220,confidence,77.10814927373535
02220,koppen_15,0.10169941854075135
02220,koppen_16,0.02566745922217923
02220,koppen_26,0.0032488812135126875
02220,koppen_27,0.8182906157359716
02220,koppen_29,0.051093625287585126
02230,confidence,93.00421649942211
02230,koppen_19,0.3890109163333191
02230,koppen_29,0.6109890836666809
02240,confidence,64.488711017344
02240,koppen_19,0.18480689277249226
02240,koppen_23,0.20406057127324254
02240,koppen_27,0.4875524213346249
02240,koppen_29,0.12358011461964029
02275,confidence,85.30955277321144
02275,koppen_15,0.002129323638642609
02275,koppen_26,0.231903077517045
02275,koppen_27,0.7137694985097833
02275,koppen_29,0.052198100334529075
02282,confidence,86.21348587323531
02282,koppen_27,0.49904182343277514
02282,koppen_29,0.5009581765672249
02290,confidence,85.60957419732752
02290,koppen_19,0.11525740205183081
02290,koppen_27,0.8317581011121782
02290,koppen_29,0.04531592298000625
02290,koppen_7,0.007668573855984846
04001,confidence,85.40661182034263
04001,koppen_18,0.09562859273946425
04001,koppen_19,0.007225330153337617
04001,koppen_26,0.004816886768891745
04001,koppen_5,0.4342698474303034
04001,koppen_7,0.4444882006497013
04001,koppen_8,7.497907252063118e-4
04001,koppen_9,0.012821351533095422
04003,confidence,83.87008686062747
04003,koppen_5,0.08982153865246825
04003,koppen_6,0.029828135957540816
04003,koppen_7,0.871303312837384
04003,koppen_9,0.009047012552606863
04005,confidence,87.10878674309066
04005,koppen_18,0.145397052177349
04005,koppen_4,0.0011857552189149525
04005,koppen_5,0.39632596469432135
04005,koppen_7,0.43563065102613363
04005,koppen_8,0.01379438167474193
04005,koppen_9,0.007666195208539195
04007,confidence,80.51915013461895
04007,koppen_18,0.010250844411156899
04007,koppen_6,0.14729454400877368
04007,koppen_7,0.6323501879531852
04007,koppen_8,0.1947687954427616
04007,koppen_9,0.015335628184122612
04009,confidence,78.33154460720203
04009,koppen_18,0.004189090941784724
04009,koppen_4,0.15582341580470657
04009,koppen_5,0.18306091290129844
04009,koppen_6,0.045125930439457736
04009,koppen_7,0.6118006499127525
04011,confidence,79.84443738168697
04011,koppen_18,0.13877738018682206
04011,koppen_5,0.1860620163317888
04011,koppen_7,0.6385840796927972
04011,koppen_9,0.036576523788591976
04012,confidence,99.47743969786436
04012,koppen_4,1
04013,confidence,95.74504490297528
04013,koppen_4,0.9007469567402988
04013,koppen_6,0.06995391636802019
04013,koppen_7,0.029242573306813385
04013,koppen_8,5.6553584867597806e-5
04015,confidence,84.14410373652117
04015,koppen_4,0.3799411935481943
04015,koppen_5,0.25999196900342386
04015,koppen_7,0.36006683744838186
04017,confidence,86.99953098658942
04017,koppen_18,0.020572933814048452
04017,koppen_5,0.5656294287447551
04017,koppen_7,0.3665821831125466
04017,koppen_8,0.010091730894136702
04017,koppen_9,0.03712372343451321
04019,confidence,90.16969221498815
04019,koppen_4,0.6786836375219933
04019,koppen_6,0.19243820483384225
04019,koppen_7,0.12887815764416444
04021,confidence,92.27196427221237
04021,koppen_4,0.6007536445541766
04021,koppen_6,0.3302021010782356
04021,koppen_7,0.06904425436758775
04023,confidence,86.75223070299246
04023,koppen_6,0.14310690004420074
04023,koppen_7,0.8568930999557992
04025,confidence,89.43420716973537
04025,koppen_18,7.932100707563669e-4
04025,koppen_4,0.1016239861637508
04025,koppen_6,0.08049967141878343
04025,koppen_7,0.7752528182536873
04025,koppen_8,0.031759479581586515
04025,koppen_9,0.010070834511435613
04027,confidence,99.99495329336347
04027,koppen_4,1
05001,confidence,100
05001,koppen_14,1
05003,confidence,100
05003,koppen_14,1
05005,confidence,100
05005,koppen_14,1
05007,confidence,99.27995246424562
05007,koppen_14,1
05009,confidence,99.84630461957732
05009,koppen_14,1
05011,confidence,100
05011,koppen_14,1
05013,confidence,100
05013,koppen_14,1
05015,confidence,99.72321016299108
05015,koppen_14,1
05017,confidence,100
05017,koppen_14,1
05019,confidence,100
05019,koppen_14,1
05021,confidence,100
05021,koppen_14,1
05023,confidence,100
05023,koppen_14,1
05025,confidence,100
05025,koppen_14,1
05027,confidence,100
05027,koppen_14,1
05029,confidence,100
05029,koppen_14,1
05031,confidence,100
05031,koppen_14,1
05033,confidence,100
05033,koppen_14,1
05035,confidence,100
05035,koppen_14,1
05037,confidence,100
05037,koppen_14,1
05039,confidence,100
05039,koppen_14,1
05041,confidence,100
05041,koppen_14,1
05043,confidence,100
05043,koppen_14,1
05045,confidence,100
05045,koppen_14,1
05047,confidence,100
05047,koppen_14,1
05049,confidence,99.9264780423769
05049,koppen_14,1
05051,confidence,100
05051,koppen_14,1
05053,confidence,100
05053,koppen_14,1
05055,confidence,100
05055,koppen_14,1
05057,confidence,100
05057,koppen_14,1
05059,confidence,100
05059,koppen_14,1
05061,confidence,100
05061,koppen_14,1
05063,confidence,100
05063,koppen_14,1
05065,confidence,100
05065,koppen_14,1
05067,confidence,100
05067,koppen_14,1
05069,confidence,100
05069,koppen_14,1
05071,confidence,100
05071,koppen_14,1
05073,confidence,100
05073,koppen_14,1
05075,confidence,100
05075,koppen_14,1
05077,confidence,100
05077,koppen_14,1
05079,confidence,100
05079,koppen_14,1
05081,confidence,100
05081,koppen_14,1
05083,confidence,100
05083,koppen_14,1
05085,confidence,100
05085,koppen_14,1
05087,confidence,99.97427364927157
05087,koppen_14,1
05089,confidence,100
05089,koppen_14,1
05091,confidence,100
05091,koppen_14,1
05093,confidence,100
05093,koppen_14,1
05095,confidence,100
05095,koppen_14,1
05097,confidence,100
05097,koppen_14,1
05099,confidence,100
05099,koppen_14,1
05101,confidence,99.84061132001588
05101,koppen_14,1
05103,confidence,100
05103,koppen_14,1
05105,confidence,100
05105,koppen_14,1
05107,confidence,100
05107,koppen_14,1
05109,confidence,100
05109,koppen_14,1
05111,confidence,100
05111,koppen_14,1
